rowID;studyID;armID;study_name;manga;study_year;pub_year;drug_name;Ntotal;Published;age_mean;age_sd;_Female;Dosing_schedule;Dose_range;Sponsoredbythisdrugcompanyo;Investigational_Comparator;ascale;baseline_mean;V;mean_efficacy;Imputation;Responders;IMPUTEDresp;Unpublished;Recruitment;type;Patient_status;Placebo_run_in;weeks;Rescue_med;Sequence_generation;Allocation_concealment;Blinding_participant;Blinding_therapist;Blinding_assessor;AP;Selective_reporting_bias;dropoutSTUDY;dropoutARM;dropoutDIFF;OverallRoB;PLAresp;Narms;PLAprop;Overall_arm_RoB
e36;141;2;Moore2005;1;2005;2005;Citalopram;152;R from pub data and no or inadequate unpub data;46,2;11,1;;Fixed;Licensed;No;Comparator;MADRS;35,7;8;-20,3;LOCF;87;0;No;Europe;Multi-center;Outpatients only;No;8;Unclear;Low risk of bias;Unclear risk of bias;Stated but not tested;Stated but not tested;Stated but not tested;High risk of bias;Low risk of bias;0,119047619;0,164473684;0,045426065;Low risk;;2;0;Low risk
e35;141;1;Moore2005;1;2005;2005;Escitalopram;142;R from pub data and no or inadequate unpub data;44,1;10,9;;Fixed;Licensed;Yes;Investigational;MADRS;36,3;8;-22,4;LOCF;105;0;No;Europe;Multi-center;Outpatients only;No;8;Unclear;Low risk of bias;Unclear risk of bias;Stated but not tested;Stated but not tested;Stated but not tested;High risk of bias;Low risk of bias;;0,070422535;0,048625084;Low risk;;2;0;Moderate risk
e41;143;2;Baldwin2006b (Study 99505);1;2006;2006;Escitalopram;166;R from pub data and no or inadequate unpub data;44,9;14,7;;Flexible;Licensed;Yes;Investigational;MADRS;29,6;8;-17,16;LOCF;112;0;Yes;Europe;Multi-center;Other/Unclear/Not stated;Yes;8;Unclear;Low risk of bias;Low risk of bias;Stated but not tested;Stated but not tested;Unclear risk of bias;Low risk of bias;Low risk of bias;0,089230769;0,090361446;0,001130677;Low risk;;2;0;Moderate risk
e40;143;1;Baldwin2006b (Study 99505);1;2006;2006;Paroxetine;159;R from pub data and no or inadequate unpub data;45,1;13,2;;Flexible;Licensed;No;Comparator;MADRS;29,7;8;-18,31;LOCF;111;0;Yes;Europe;Multi-center;Other/Unclear/Not stated;Yes;8;Unclear;Low risk of bias;Low risk of bias;Stated but not tested;Stated but not tested;Unclear risk of bias;Low risk of bias;Low risk of bias;;0,088050314;0,001180455;Low risk;;2;0;Low risk
e43;144;2;Wade2007 (Study 10990);1;2006;2007;Duloxetine;151;R from pub data and no or inadequate unpub data;44,5;11;;Fixed;Licensed;No;Comparator;HAMD17;22,7;8;11,19;LOCF;81;0;Yes;;Multi-center;Outpatients only;No;8;Unclear;Low risk of bias;Low risk of bias;Stated but not tested;Stated but not tested;Unclear risk of bias;Unclear risk of bias;Low risk of bias;0,230508475;0,245033113;0,014524638;Low risk;;2;0;Low risk
e42;144;1;Wade2007 (Study 10990);1;2006;2007;Escitalopram;144;R from pub data and no or inadequate unpub data;43,3;11,6;;Fixed;Licensed;Yes;Investigational;HAMD17;22,7;8;9,93;LOCF;94;0;Yes;;Multi-center;Outpatients only;No;8;Unclear;Low risk of bias;Low risk of bias;Stated but not tested;Stated but not tested;Unclear risk of bias;Unclear risk of bias;Low risk of bias;;0,215277778;0,015230697;Low risk;;2;0;Moderate risk
e45;145;2;Khan2007 (SCT-MD-23) (NCT00108979);1;2006;2007;Duloxetine;138;R from pub data and no or inadequate unpub data;43;13,4;;Fixed;Licensed;No;Comparator;HAMD24;26,9;8;-12,7;LOCF;52;0;Yes;North America;Multi-center;Outpatients only;Unclear;8;Unclear;Unclear risk of bias;Unclear risk of bias;Stated but not tested;Stated but not tested;Unclear risk of bias;Low risk of bias;Low risk of bias;0,241007194;0,333333333;0,092326139;Moderate risk;;2;0;Moderate risk
e44;145;1;Khan2007 (SCT-MD-23) (NCT00108979);1;2006;2007;Escitalopram;140;R from pub data and no or inadequate unpub data;41,8;12,7;;Flexible;Licensed;Yes;Investigational;HAMD24;26,6;8;-14,5;LOCF;61;0;Yes;North America;Multi-center;Outpatients only;Unclear;8;Unclear;Unclear risk of bias;Unclear risk of bias;Stated but not tested;Stated but not tested;Unclear risk of bias;Low risk of bias;Low risk of bias;;0,15;0,091007194;Moderate risk;;2;0;High risk
e49;146;1;Boulenger2006 (Study 10351);1;2006;2006;Escitalopram;232;Inadequate pub data and R from unpub data;43,8;12,5;;Fixed;Licensed;Yes;Investigational;MADRS;35,2;8;-20,93;LOCF;144;1;Yes;Europe;Multi-center;Outpatients only;No;24;Unclear;Low risk of bias;Unclear risk of bias;Stated but not tested;Stated but not tested;Unclear risk of bias;Low risk of bias;Unclear risk of bias;;0,094827586;0,027176771;Low risk;;2;0;Moderate risk
e50;146;2;Boulenger2006 (Study 10351);1;2006;2006;Paroxetine;227;Inadequate pub data and R from unpub data;44,7;13;;Fixed;Licensed;Yes;Comparator;MADRS;34,8;8;-19,3;LOCF;128;1;Yes;Europe;Multi-center;Outpatients only;No;24;Unclear;Low risk of bias;Unclear risk of bias;Stated but not tested;Stated but not tested;Unclear risk of bias;Low risk of bias;Unclear risk of bias;0,122004357;0,149779736;0,027775378;Low risk;;2;0;Moderate risk
e52;147;2;Li2006;0;2006;2006;Citalopram;28;R from pub data and no or inadequate unpub data;34,4;11,9;0,525;Flexible;Licensed;Unclear;Comparator;HAMD17;23,8;6;-12,1;Others;19;0;No;Asia;Single center;Outpatients only;Unclear;6;Yes;Low risk of bias;Unclear risk of bias;Stated but not tested;Stated but not tested;Unclear risk of bias;High risk of bias;Low risk of bias;;;;Low risk;;2;0;Moderate risk
e51;147;1;Li2006;0;2006;2006;Escitalopram;28;R from pub data and no or inadequate unpub data;36,5;12,8;0,547;Flexible;Licensed;Unclear;Investigational;HAMD17;23,7;6;-15,1;Others;22;0;No;Asia;Single center;Outpatients only;Unclear;6;Yes;Low risk of bias;Unclear risk of bias;Stated but not tested;Stated but not tested;Unclear risk of bias;High risk of bias;Low risk of bias;;;;Low risk;;2;0;Moderate risk
e57;148;2;Yevtushenko2007;0;2007;2007;Citalopram;110;R from pub data and no or inadequate unpub data;35,12;6,547152053;0,564814815;Fixed;Licensed;No;Comparator;MADRS;35,7;8;-25,19;LOCF;90;0;No;Europe;Multi-center;Outpatients only;Unclear;6;Yes;Unclear risk of bias;Unclear risk of bias;Stated but not tested;Stated but not tested;Stated but not tested;High risk of bias;Unclear risk of bias;0,01369863;0,018181818;0,004483188;Low risk;;3;0;Low risk
e55;148;1;Yevtushenko2007;0;2007;2007;Escitalopram;109;R from pub data and no or inadequate unpub data;35,19;6,547152053;0,611111111;Fixed;Licensed;Yes;Investigational;MADRS;25,67049808;8;-28,7;LOCF;103;0;No;Europe;Multi-center;Outpatients only;Unclear;6;Yes;Unclear risk of bias;Unclear risk of bias;Stated but not tested;Stated but not tested;Stated but not tested;High risk of bias;Unclear risk of bias;;0,009174312;0,004524318;Low risk;;3;0;Moderate risk
e59;149;2;Mao2008;0;2008;2008;Escitalopram;123;R from pub data and no or inadequate unpub data;37,1;14,1;0,61;Fixed;Licensed;Yes;Investigational;HAMD17;24,7;8;8,9;LOCF;94;0;No;Asia;Multi-center;Both;No;8;Yes;Unclear risk of bias;Unclear risk of bias;Stated but not tested;Stated but not tested;Unclear risk of bias;High risk of bias;Low risk of bias;0,133333333;0,12195122;0,011382114;Low risk;;2;0;Moderate risk
e58;149;1;Mao2008;0;2008;2008;Fluoxetine;117;R from pub data and no or inadequate unpub data;40,7;13,9;0,74;Fixed;Licensed;No;Comparator;HAMD17;24,1;8;9,4;LOCF;89;0;No;Asia;Multi-center;Both;No;8;Yes;Unclear risk of bias;Unclear risk of bias;Stated but not tested;Stated but not tested;Unclear risk of bias;High risk of bias;Low risk of bias;;0,145299145;0,011965812;Low risk;;2;0;Low risk
e61;150;2;Hu2009;0;2009;2009;Citalopram;23;R from pub data and no or inadequate unpub data;30,61;8,61;0,565;Flexible;Licensed;Unclear;Comparator;HAMD17;20,78;6;6,91;Others;19;0;No;Asia;Single center;Outpatients only;Yes;6;Yes;Unclear risk of bias;Unclear risk of bias;Stated but not tested;Stated but not tested;Unclear risk of bias;High risk of bias;Unclear risk of bias;;;;Moderate risk;;2;0;Moderate risk
e60;150;1;Hu2009;0;2009;2009;Escitalopram;25;R from pub data and no or inadequate unpub data;30,92;8,04;0,52;Flexible;Licensed;Unclear;Investigational;HAMD17;21,3;6;6,76;Others;21;0;No;Asia;Single center;Outpatients only;Yes;6;Yes;Unclear risk of bias;Unclear risk of bias;Stated but not tested;Stated but not tested;Unclear risk of bias;High risk of bias;Unclear risk of bias;;;;Moderate risk;;2;0;Moderate risk
e63;151;2;Jiang2009;0;2009;2009;Citalopram;32;R from pub data and no or inadequate unpub data;39,23;11,85;0,53125;Flexible;Licensed;Unclear;Comparator;HAMD17;23,46;6;;OC;31;0;No;Asia;Single center;Both;Unclear;6;Yes;Unclear risk of bias;Unclear risk of bias;Stated but not tested;Stated but not tested;Stated but not tested;High risk of bias;Low risk of bias;0,046875;0,0625;0,015625;Low risk;;2;0;Low risk
e62;151;1;Jiang2009;0;2009;2009;Escitalopram;32;R from pub data and no or inadequate unpub data;38,62;11,54;0,5625;Flexible;Licensed;Unclear;Investigational;HAMD17;23,82;6;;OC;30;0;No;Asia;Single center;Both;Unclear;6;Yes;Unclear risk of bias;Unclear risk of bias;Stated but not tested;Stated but not tested;Stated but not tested;High risk of bias;Low risk of bias;;0,03125;0,015625;Low risk;;2;0;Low risk
e64;152;1;Ou2010;0;2010;2010;Citalopram;120;R from pub data and no or inadequate unpub data;36,4;12,3;0,538;Flexible;Licensed;Unclear;Comparator;HAMD17;22,9;6;9,1;LOCF;87;0;No;Asia;Multi-center;Both;Unclear;6;Yes;Low risk of bias;Low risk of bias;Stated but not tested;Stated but not tested;Unclear risk of bias;High risk of bias;Low risk of bias;;0,15;0,004166667;Low risk;;2;0;Low risk
e65;152;2;Ou2010;0;2010;2010;Escitalopram;120;R from pub data and no or inadequate unpub data;36,7;12,5;0,583;Flexible;Licensed;Unclear;Investigational;HAMD17;23,4;6;8,6;LOCF;83;0;No;Asia;Multi-center;Both;Unclear;6;Yes;Low risk of bias;Low risk of bias;Stated but not tested;Stated but not tested;Unclear risk of bias;High risk of bias;Low risk of bias;0,154166667;0,158333333;0,004166667;Low risk;;2;0;Low risk
e67;153;2;Li2010;0;2010;2010;Citalopram;24;R from pub data and no or inadequate unpub data;;;;Flexible;Licensed;Yes;Comparator;HAMDunspecified;;6;6,41;Others;19;0;No;Asia;Multi-center;Other/Unclear/Not stated;Unclear;6;Unclear;Unclear risk of bias;Unclear risk of bias;Stated but not tested;Stated but not tested;Unclear risk of bias;High risk of bias;Unclear risk of bias;0,104166667;0,125;0,020833333;Moderate risk;;2;0;Moderate risk
e66;153;1;Li2010;0;2010;2010;Escitalopram;24;R from pub data and no or inadequate unpub data;;;;Flexible;Licensed;Yes;Investigational;HAMDunspecified;;6;7,79;Others;20;0;No;Asia;Multi-center;Other/Unclear/Not stated;Unclear;6;Unclear;Unclear risk of bias;Unclear risk of bias;Stated but not tested;Stated but not tested;Unclear risk of bias;High risk of bias;Unclear risk of bias;;0,083333333;0,020833333;Moderate risk;;2;0;Moderate risk
e78;157;2;Lv2013;0;2013;2013;Citalopram;22;R from pub data and no or inadequate unpub data;31,61;8,61;0,5;Flexible;Licensed;Unclear;Comparator;HAMD17;22,78;6;7,9;Others;17;0;No;Asia;Single center;Outpatients only;Unclear;6;Yes;Unclear risk of bias;Unclear risk of bias;Stated but not tested;Stated but not tested;Unclear risk of bias;High risk of bias;Unclear risk of bias;;;;Moderate risk;;2;0;Moderate risk
e77;157;1;Lv2013;0;2013;2013;Escitalopram;20;R from pub data and no or inadequate unpub data;32,1;7,64;0,5;Flexible;Licensed;Unclear;Investigational;HAMD17;23,06;6;7,76;Others;16;0;No;Asia;Single center;Outpatients only;Unclear;6;Yes;Unclear risk of bias;Unclear risk of bias;Stated but not tested;Stated but not tested;Unclear risk of bias;High risk of bias;Unclear risk of bias;;;;Moderate risk;;2;0;Moderate risk
f14;169;2;Chouinard1985;0;1985;1985;Amitriptyline;28;R imputed from pub data and no or inadequate unpub data;39;;;Flexible;Licensed;Unclear;Comparator;HAMD21;25,9;5;10,6;Others;15;1;No;North America;Multi-center;Outpatients only;Yes;5;Yes;Unclear risk of bias;Unclear risk of bias;Stated but not tested;Stated but not tested;Unclear risk of bias;High risk of bias;Low risk of bias;0,188679245;0,214285714;0,025606469;Low risk;;2;0;Moderate risk
f13;169;1;Chouinard1985;0;1985;1985;Fluoxetine;25;R imputed from pub data and no or inadequate unpub data;41;;;Flexible;Licensed;Unclear;Investigational;HAMD21;27,6;5;15,5;Others;8;1;No;North America;Multi-center;Outpatients only;Yes;5;Yes;Unclear risk of bias;Unclear risk of bias;Stated but not tested;Stated but not tested;Unclear risk of bias;High risk of bias;Low risk of bias;;0,16;0,028679245;Low risk;;2;0;Moderate risk
f26;175;2;DeRonchi1998;0;1988;1988;Amitriptyline;33;R from pub data and no or inadequate unpub data;68,6;7,64;;Fixed;Licensed;Unclear;Comparator;HAMD17;26,5;10;13,94;Others;18;0;No;Europe;Multi-center;Outpatients only;Yes;10;Yes;Unclear risk of bias;Unclear risk of bias;Stated but not tested;Stated but not tested;Unclear risk of bias;High risk of bias;Low risk of bias;0,307692308;0,333333333;0,025641026;Moderate risk;;2;0;Moderate risk
f25;175;1;DeRonchi1998;0;1988;1988;Fluoxetine;32;R from pub data and no or inadequate unpub data;69,1;5,92;;Fixed;Licensed;Unclear;Investigational;HAMD17;25,6;10;14,22;Others;16;0;No;Europe;Multi-center;Outpatients only;Yes;10;Yes;Unclear risk of bias;Unclear risk of bias;Stated but not tested;Stated but not tested;Unclear risk of bias;High risk of bias;Low risk of bias;;0,28125;0,026442308;Moderate risk;;2;0;Moderate risk
f27;176;1;Debus1988;0;1988;1988;Fluoxetine;22;R from pub data and no or inadequate unpub data;35,4;8,6;;Flexible;Licensed;Yes;Investigational;HAMD21;23,4;;;LOCF;9;0;No;North America;Multi-center;Outpatients only;Yes;6;No;Unclear risk of bias;Unclear risk of bias;Stated but not tested;Stated but not tested;Unclear risk of bias;High risk of bias;Low risk of bias;;0,363636364;0,054968288;Moderate risk;;2;0;High risk
f28;176;2;Debus1988;0;1988;1988;Trazodone;21;R from pub data and no or inadequate unpub data;39,3;8,3;;Flexible;Licensed;No;Comparator;HAMD21;25,2;;;LOCF;9;0;No;North America;Multi-center;Outpatients only;Yes;6;No;Unclear risk of bias;Unclear risk of bias;Stated but not tested;Stated but not tested;Unclear risk of bias;High risk of bias;Low risk of bias;0,418604651;0,476190476;0,057585825;Moderate risk;;2;0;Moderate risk
f32;178;2;Laakman1988  ;0;1988;1988;Amitriptyline;65;R from pub data and no or inadequate unpub data;;;;Flexible;Licensed;Unclear;Comparator;HAMDunspecified;23,8;5;6,59;Others;57;0;No;Europe;Unclear;Outpatients only;Yes;5;Yes;Unclear risk of bias;Unclear risk of bias;Stated but not tested;Stated but not tested;Unclear risk of bias;High risk of bias;Unclear risk of bias;;;;Moderate risk;;2;0;Moderate risk
f31;178;1;Laakman1988  ;0;1988;1988;Fluoxetine;63;R from pub data and no or inadequate unpub data;;;;Flexible;Licensed;Unclear;Investigational;HAMDunspecified;26,7;5;8,96;Others;55;0;No;Europe;Unclear;Outpatients only;Yes;5;Yes;Unclear risk of bias;Unclear risk of bias;Stated but not tested;Stated but not tested;Unclear risk of bias;High risk of bias;Unclear risk of bias;;;;Moderate risk;;2;0;Moderate risk
f36;180;2;Falk1989;0;1989;1989;Fluoxetine;14;R imputed from pub data and no or inadequate unpub data;69,1;6,2;;Flexible;Licensed;Yes;Investigational;HAMD21;23,77;6;10,08;Others;8;1;No;North America;Single center;Outpatients only;Yes;6;Unclear;Unclear risk of bias;Unclear risk of bias;Stated but not tested;Stated but not tested;Unclear risk of bias;High risk of bias;Low risk of bias;0,518518519;0,285714286;0,232804233;Moderate risk;;2;0;High risk
f35;180;1;Falk1989;0;1989;1989;Trazodone;13;R imputed from pub data and no or inadequate unpub data;67,5;4;;Flexible;Licensed;No;Comparator;HAMD21;26,17;6;16,08;Others;4;1;No;North America;Single center;Outpatients only;Yes;6;Unclear;Unclear risk of bias;Unclear risk of bias;Stated but not tested;Stated but not tested;Unclear risk of bias;High risk of bias;Low risk of bias;;0,769230769;0,250712251;Moderate risk;;2;0;Moderate risk
f37;181;1;Fawcett1989;0;1989;1989;Amitriptyline;20;R imputed from pub data and no or inadequate unpub data;44,5;10,3;;Flexible;Licensed;No;Comparator;HAMD21;23,5;6;14,6;OC;7;1;No;North America;Multi-center;Outpatients only;Yes;6;Yes;Unclear risk of bias;Unclear risk of bias;Stated but not tested;Stated but not tested;Unclear risk of bias;High risk of bias;Low risk of bias;;0,55;0,075;Moderate risk;;2;0;Moderate risk
f38;181;2;Fawcett1989;0;1989;1989;Fluoxetine;20;R imputed from pub data and no or inadequate unpub data;39,9;10,6;;Flexible;Licensed;Yes;Investigational;HAMD21;23,6;6;12,8;OC;8;1;No;North America;Multi-center;Outpatients only;Yes;6;Yes;Unclear risk of bias;Unclear risk of bias;Stated but not tested;Stated but not tested;Unclear risk of bias;High risk of bias;Low risk of bias;0,475;0,4;0,075;Moderate risk;;2;0;High risk
f40;182;2;Manna1989;0;1989;1989;Clomipramine;15;R imputed from pub data and no or inadequate unpub data;48,5;8,36;0,633333333;Fixed;Licensed;Unclear;Comparator;HAMD17;25;5;10;Others;11;1;No;Europe;Unclear;Inpatients only;Unclear;5;Unclear;Unclear risk of bias;Unclear risk of bias;Stated but not tested;Stated but not tested;Unclear risk of bias;High risk of bias;Unclear risk of bias;;;;Moderate risk;;2;0;Moderate risk
f39;182;1;Manna1989;0;1989;1989;Fluoxetine;15;R imputed from pub data and no or inadequate unpub data;47,7;10;0,633333333;Fixed;Licensed;Unclear;Investigational;HAMD17;25,7;5;8,5;Others;12;1;No;Europe;Unclear;Inpatients only;Unclear;5;Unclear;Unclear risk of bias;Unclear risk of bias;Stated but not tested;Stated but not tested;Unclear risk of bias;High risk of bias;Unclear risk of bias;;;;Moderate risk;;2;0;Moderate risk
f42;183;2;Ginestet1989;0;1989;1989;Clomipramine;26;R imputed from pub data and no or inadequate unpub data;51,6;11;0,731;Flexible;Licensed;No;Comparator;HAMD21;33,7;8;10,5;Others;18;1;No;Europe;Multi-center;Inpatients only;Unclear;8;Yes;Unclear risk of bias;Unclear risk of bias;Stated but not tested;Stated but not tested;Unclear risk of bias;High risk of bias;Unclear risk of bias;;;;Moderate risk;;2;0;Moderate risk
f41;183;1;Ginestet1989;0;1989;1989;Fluoxetine;28;R imputed from pub data and no or inadequate unpub data;46,5;10,8;0,714;Flexible;Licensed;Unclear;Investigational;HAMD21;33,1;8;10,4;Others;22;1;No;Europe;Multi-center;Inpatients only;Unclear;8;Yes;Unclear risk of bias;Unclear risk of bias;Stated but not tested;Stated but not tested;Unclear risk of bias;High risk of bias;Unclear risk of bias;;;;Moderate risk;;2;0;Moderate risk
f44;184;2;Ropert1989  ;0;1989;1989;Clomipramine;72;R imputed from pub data and no or inadequate unpub data;44,8;12,6;0,694444444;Fixed;Licensed;No;Comparator;HAMD21;23;6;;OC;31;1;No;Europe;Multi-center;Outpatients only;Unclear;6;Unclear;Unclear risk of bias;Unclear risk of bias;Stated but not tested;Stated but not tested;Unclear risk of bias;High risk of bias;Low risk of bias;0,27972028;0,333333333;0,053613054;Moderate risk;;2;0;Moderate risk
f43;184;1;Ropert1989  ;0;1989;1989;Fluoxetine;71;R imputed from pub data and no or inadequate unpub data;42,7;11;0,6;Fixed;Licensed;Unclear;Investigational;HAMD21;23;6;;OC;42;1;No;Europe;Multi-center;Outpatients only;Unclear;6;Unclear;Unclear risk of bias;Unclear risk of bias;Stated but not tested;Stated but not tested;Unclear risk of bias;High risk of bias;Low risk of bias;;0,225352113;0,054368167;Moderate risk;;2;0;Moderate risk
f45;185;1;Fudge1990;0;1990;1990;Fluoxetine;21;R imputed from pub data and no or inadequate unpub data;;;;Flexible;Licensed;Unclear;Unclear;HAMDunspecified;23,2;;;OC;10;1;No;North America;Single center;Outpatients only;Yes;6;Unclear;Unclear risk of bias;Unclear risk of bias;Stated but not tested;Stated but not tested;Unclear risk of bias;High risk of bias;Unclear risk of bias;;0,238095238;0,053884712;Moderate risk;;2;0;Moderate risk
f46;185;2;Fudge1990;0;1990;1990;Trazodone;17;R imputed from pub data and no or inadequate unpub data;;;;Flexible;Licensed;Unclear;Unclear;HAMDunspecified;23,6;6;6,5;Others;13;1;No;North America;Single center;Outpatients only;Yes;6;Unclear;Unclear risk of bias;Unclear risk of bias;Stated but not tested;Stated but not tested;Unclear risk of bias;High risk of bias;Unclear risk of bias;0,184210526;0,117647059;0,066563467;Moderate risk;;2;0;Moderate risk
f48;186;2;Kerkhofs1990;0;1990;1990;Amitriptyline;18;R imputed from pub data and no or inadequate unpub data;46,2;11,4;0,611111111;Fixed;Licensed;No;Comparator;HAMDunspecified;21,8;6;;OC;6;1;No;Europe;Unclear;Other/Unclear/Not stated;Yes;6;Yes;Unclear risk of bias;Unclear risk of bias;Stated but not tested;Stated but not tested;Unclear risk of bias;High risk of bias;Unclear risk of bias;0,441176471;0,444444444;0,003267974;Moderate risk;;2;0;Moderate risk
f47;186;1;Kerkhofs1990;0;1990;1990;Fluoxetine;16;R imputed from pub data and no or inadequate unpub data;45,3;12,7;0,6875;Fixed;Licensed;Yes;Investigational;HAMDunspecified;21,9;6;;OC;6;1;No;Europe;Unclear;Other/Unclear/Not stated;Yes;6;Yes;Unclear risk of bias;Unclear risk of bias;Stated but not tested;Stated but not tested;Unclear risk of bias;High risk of bias;Unclear risk of bias;;0,4375;0,003676471;Moderate risk;;2;0;Moderate risk
f49;187;1;Noguera1991;0;1991;1991;Clomipramine;60;R imputed from pub data and no or inadequate unpub data;46;;;Fixed;Licensed;No;Comparator;HAMDunspecified;24,6;6;-13,2;Others;32;1;No;Europe;Multi-center;Other/Unclear/Not stated;Yes;6;Yes;Unclear risk of bias;Unclear risk of bias;Stated but not tested;Stated but not tested;Unclear risk of bias;High risk of bias;Low risk of bias;;0,266666667;0,025;Moderate risk;;2;0;Moderate risk
f50;187;2;Noguera1991;0;1991;1991;Fluoxetine;60;R imputed from pub data and no or inadequate unpub data;46,3;;;Flexible;Licensed;Yes;Investigational;HAMDunspecified;24,3;6;-14,88;Others;37;1;No;Europe;Multi-center;Other/Unclear/Not stated;Yes;6;Yes;Unclear risk of bias;Unclear risk of bias;Stated but not tested;Stated but not tested;Unclear risk of bias;High risk of bias;Low risk of bias;0,241666667;0,216666667;0,025;Moderate risk;;2;0;Moderate risk
f52;188;2;Keegan1991;0;1991;1991;Amitriptyline;22;R from pub data and no or inadequate unpub data;47,8;14,2;0,67;Flexible;Licensed;No;Comparator;HAMD21;;6;;Others;16;0;No;North America;Multi-center;Other/Unclear/Not stated;Yes;6;Yes;Unclear risk of bias;Unclear risk of bias;Stated but not tested;Stated but not tested;Unclear risk of bias;High risk of bias;Low risk of bias;0,119047619;0,136363636;0,017316017;Low risk;;2;0;Low risk
f51;188;1;Keegan1991;0;1991;1991;Fluoxetine;20;R from pub data and no or inadequate unpub data;39,5;13,6;0,67;Flexible;Licensed;Yes;Investigational;HAMD21;;6;;Others;12;0;No;North America;Multi-center;Other/Unclear/Not stated;Yes;6;Yes;Unclear risk of bias;Unclear risk of bias;Stated but not tested;Stated but not tested;Unclear risk of bias;High risk of bias;Low risk of bias;;0,1;0,019047619;Low risk;;2;0;Moderate risk
f54;189;2;Preskorn1991;0;1991;1991;Amitriptyline;31;R imputed from pub data and no or inadequate unpub data;;;;Flexible;Licensed;No;Comparator;HAMDunspecified;23,5;6;-7,9;Others;8;1;No;North America;Multi-center;Outpatients only;Yes;6;Yes;Unclear risk of bias;Unclear risk of bias;Stated but not tested;Stated but not tested;Unclear risk of bias;High risk of bias;Low risk of bias;0,360655738;0,516129032;0,155473295;Moderate risk;;2;0;Moderate risk
f53;189;1;Preskorn1991;0;1991;1991;Fluoxetine;30;R imputed from pub data and no or inadequate unpub data;;;;Flexible;Licensed;Yes;Investigational;HAMDunspecified;23,8;6;-10,1;Others;12;1;No;North America;Multi-center;Outpatients only;Yes;6;Yes;Unclear risk of bias;Unclear risk of bias;Stated but not tested;Stated but not tested;Unclear risk of bias;High risk of bias;Low risk of bias;;0,2;0,160655738;Moderate risk;;2;0;High risk
f56;190;2;Beasley1991;0;1991;1991;Fluoxetine;65;R imputed from pub data and no or inadequate unpub data;40;11,3;0,646;Flexible;Licensed;Yes;Investigational;HAMD21;23,4;6;-12,2;LOCF;33;1;No;North America;Multi-center;Outpatients only;Yes;6;Yes;Unclear risk of bias;Unclear risk of bias;Stated but not tested;Stated but not tested;Unclear risk of bias;High risk of bias;Low risk of bias;0,341269841;0,307692308;0,033577534;Moderate risk;;2;0;Moderate risk
f55;190;1;Beasley1991;0;1991;1991;Trazodone;61;R imputed from pub data and no or inadequate unpub data;40;10,8;0,689;Flexible;Licensed;No;Comparator;HAMD21;24,3;6;-13,9;LOCF;34;1;No;North America;Multi-center;Outpatients only;Yes;6;Yes;Unclear risk of bias;Unclear risk of bias;Stated but not tested;Stated but not tested;Unclear risk of bias;High risk of bias;Low risk of bias;;0,37704918;0,035779339;Moderate risk;;2;0;Moderate risk
f58;191;2;Judd1993;0;1993;1993;Amitriptyline;28;R imputed from pub data and no or inadequate unpub data;41,7;9,8;0,655172414;Flexible;Licensed;No;Comparator;HAMD17;23,7;6;11,6;Others;12;1;No;Australia;Multi-center;Other/Unclear/Not stated;Yes;6;Yes;Unclear risk of bias;Unclear risk of bias;Stated but not tested;Stated but not tested;Unclear risk of bias;High risk of bias;Low risk of bias;0,206896552;0,178571429;0,028325123;Moderate risk;;2;0;Moderate risk
f57;191;1;Judd1993;0;1993;1993;Fluoxetine;30;R imputed from pub data and no or inadequate unpub data;41,7;9,8;0,655172414;Fixed;Licensed;Yes;Investigational;HAMD17;24,4;6;;OC;15;1;No;Australia;Multi-center;Other/Unclear/Not stated;Yes;6;Yes;Unclear risk of bias;Unclear risk of bias;Stated but not tested;Stated but not tested;Unclear risk of bias;High risk of bias;Low risk of bias;;0,233333333;0,026436782;Moderate risk;;2;0;Moderate risk
f67;196;1;Demyttenaere1998  ;0;1998;1998;Amitriptyline;31;R from pub data and no or inadequate unpub data;42,1;8,1;;Fixed;Licensed;No;Comparator;HAMDunspecified;23,9;9;7,2;Others;18;0;No;Europe;Multi-center;Outpatients only;Unclear;9;Unclear;Unclear risk of bias;Unclear risk of bias;Stated but not tested;Stated but not tested;Unclear risk of bias;High risk of bias;Low risk of bias;;0,451612903;0,1485826;Moderate risk;;2;0;Moderate risk
f68;196;2;Demyttenaere1998  ;0;1998;1998;Fluoxetine;35;R from pub data and no or inadequate unpub data;41,4;8,9;;Fixed;Licensed;Yes;Investigational;HAMDunspecified;24,9;9;9,9;Others;22;0;No;Europe;Multi-center;Outpatients only;Unclear;9;Unclear;Unclear risk of bias;Unclear risk of bias;Stated but not tested;Stated but not tested;Unclear risk of bias;High risk of bias;Low risk of bias;0,303030303;0,171428571;0,131601732;Moderate risk;;2;0;High risk
f70;197;2;Marchesi1998  ;0;1998;1998;Amitriptyline;75;R from pub data and no or inadequate unpub data;43,6;11,9;0,747;Flexible;Licensed;No;Comparator;HAMD17;25,3;10;8,15;LOCF;59;0;No;Europe;Multi-center;Outpatients only;Yes;10;Yes;Unclear risk of bias;Unclear risk of bias;Stated but not tested;Stated but not tested;Unclear risk of bias;High risk of bias;Low risk of bias;0,11971831;0,133333333;0,013615023;Low risk;;2;0;Low risk
